iter	Passed	Remaining
173	1052	4997
174	1058	4991
175	1064	4981
176	1069	4971
177	1074	4962
178	1079	4951
179	1083	4937
180	1088	4925
181	1093	4913
182	1098	4904
183	1102	4888
184	1106	4874
185	1110	4860
186	1114	4846
187	1118	4831
188	1123	4820
189	1127	4806
190	1131	4791
191	1135	4778
192	1140	4767
193	1144	4754
194	1148	4741
195	1152	4728
196	1157	4718
197	1161	4705
198	1166	4695
199	1171	4684
200	1175	4674
201	1180	4665
202	1186	4659
203	1192	4653
204	1197	4645
205	1203	4638
206	1208	4629
207	1213	4619
208	1218	4610
209	1223	4603
210	1228	4592
211	1234	4589
212	1239	4578
213	1244	4570
214	1250	4565
215	1256	4559
216	1262	4554
217	1271	4559
218	1276	4553
219	1283	4550
220	1288	4543
221	1294	4537
222	1301	4533
223	1307	4528
224	1312	4521
225	1319	4518
226	1325	4512
227	1330	4505
228	1336	4500
229	1341	4492
230	1347	4485
231	1353	4480
232	1358	4470
233	1363	4462
234	1368	4455
235	1373	4446
236	1378	4436
237	1382	4427
238	1387	4417
239	1391	4406
240	1396	4396
241	1400	4387
242	1404	4376
243	1409	4367
244	1414	4359
245	1419	4350
246	1423	4340
247	1429	4333
248	1434	4328
249	1440	4320
250	1446	4316
251	1452	4311
252	1458	4306
253	1465	4304
254	1473	4304
255	1481	4306
256	1487	4301
257	1494	4297
258	1500	4293
259	1506	4287
260	1513	4284
261	1518	4278
262	1524	4272
263	1530	4267
264	1536	4260
265	1541	4252
266	1546	4244
267	1550	4234
268	1554	4225
269	1559	4216
270	1563	4206
271	1567	4195
272	1572	4188
273	1579	4185
274	1583	4175
275	1588	4166
276	1593	4159
277	1598	4150
278	1603	4143
279	1608	4137
280	1613	4129
281	1618	4120
282	1623	4112
283	1628	4105
284	1632	4096
285	1637	4086
286	1641	4078
287	1646	4070
288	1651	4062
289	1656	4056
290	1661	4049
291	1666	4040
292	1671	4032
293	1676	4025
294	1680	4016
295	1684	4007
296	1689	3999
297	1694	3991
298	1698	3981
299	1702	3972
300	1707	3965
301	1711	3955
302	1716	3947
303	1721	3941
304	1726	3934
305	1731	3927
306	1737	3921
307	1742	3915
308	1747	3908
309	1753	3903
310	1758	3895
311	1762	3886
312	1767	3878
313	1772	3872
314	1776	3863
315	1781	3855
316	1787	3850
317	1792	3843
318	1797	3836
319	1802	3830
320	1808	3825
321	1813	3818
322	1819	3813
323	1827	3812
324	1832	3806
325	1838	3800
326	1842	3792
327	1847	3784
328	1851	3776
329	1856	3768
330	1860	3759
331	1864	3751
332	1869	3743
333	1873	3735
334	1878	3728
335	1883	3723
336	1888	3716
337	1894	3710
338	1899	3703
339	1904	3696
340	1909	3689
341	1914	3684
342	1919	3676
343	1923	3668
344	1928	3661
345	1933	3654
346	1937	3646
347	1942	3639
348	1947	3633
349	1952	3626
350	1958	3621
351	1964	3616
352	1969	3609
353	1973	3601
354	1979	3595
355	1984	3589
356	1988	3581
357	1994	3576
358	1999	3570
359	2004	3564
360	2010	3558
361	2015	3552
362	2022	3548
363	2027	3542
364	2033	3537
365	2039	3532
366	2047	3532
367	2055	3529
368	2062	3527
369	2068	3522
370	2074	3516
371	2080	3511
372	2085	3506
373	2092	3503
374	2099	3498
375	2104	3493
376	2111	3488
377	2116	3482
378	2121	3476
379	2127	3470
380	2131	3463
381	2137	3457
382	2143	3452
383	2147	3445
384	2152	3438
385	2157	3432
386	2162	3425
387	2167	3419
388	2174	3415
389	2179	3409
390	2185	3403
391	2191	3399
392	2197	3393
393	2203	3389
394	2209	3383
395	2214	3377
396	2219	3370
397	2224	3364
398	2229	3358
399	2235	3353
400	2240	3347
401	2245	3339
402	2249	3332
403	2254	3326
404	2259	3319
405	2264	3313
406	2270	3307
407	2275	3301
408	2279	3294
409	2284	3287
410	2288	3280
411	2292	3272
412	2296	3264
413	2301	3257
414	2305	3249
415	2309	3241
416	2313	3233
417	2317	3226
418	2322	3219
